"n_features","strategy","meanAcc","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17","acc_18","acc_19","acc_20","acc_21","acc_22","acc_23","acc_24","acc_25"
105,"inclusion",0.808131868131868,0.692307692307692,0.857142857142857,0.785714285714286,0.785714285714286,0.769230769230769,0.785714285714286,0.785714285714286,0.928571428571429,0.846153846153846,0.615384615384615,0.769230769230769,0.928571428571429,0.928571428571429,0.785714285714286,0.692307692307692,0.785714285714286,0.714285714285714,0.785714285714286,0.923076923076923,0.846153846153846,0.857142857142857,0.785714285714286,0.857142857142857,0.846153846153846,0.846153846153846
110,"inclusion",0.793626373626374,0.714285714285714,0.846153846153846,0.928571428571429,0.642857142857143,0.615384615384615,0.857142857142857,0.857142857142857,0.846153846153846,0.615384615384615,0.714285714285714,0.923076923076923,0.857142857142857,0.769230769230769,0.714285714285714,0.928571428571429,0.692307692307692,0.769230769230769,0.714285714285714,0.785714285714286,0.785714285714286,0.923076923076923,0.857142857142857,1,0.769230769230769,0.714285714285714
115,"inclusion",0.813406593406593,0.857142857142857,0.923076923076923,0.571428571428571,0.846153846153846,0.857142857142857,0.785714285714286,0.857142857142857,0.692307692307692,0.785714285714286,0.769230769230769,0.857142857142857,0.846153846153846,0.857142857142857,0.769230769230769,0.857142857142857,0.615384615384615,0.928571428571429,0.846153846153846,0.928571428571429,0.857142857142857,0.857142857142857,0.692307692307692,0.857142857142857,0.928571428571429,0.692307692307692
120,"inclusion",0.831868131868132,0.714285714285714,0.928571428571429,0.928571428571429,0.615384615384615,0.923076923076923,0.714285714285714,0.923076923076923,1,0.857142857142857,0.846153846153846,0.857142857142857,0.923076923076923,0.846153846153846,0.857142857142857,0.785714285714286,0.857142857142857,0.615384615384615,0.857142857142857,0.692307692307692,0.714285714285714,1,0.769230769230769,1,0.857142857142857,0.714285714285714
125,"inclusion",0.823516483516484,0.692307692307692,0.714285714285714,0.785714285714286,0.923076923076923,0.928571428571429,0.923076923076923,0.857142857142857,0.857142857142857,0.769230769230769,0.857142857142857,0.857142857142857,0.857142857142857,0.769230769230769,0.857142857142857,0.846153846153846,0.714285714285714,0.857142857142857,0.714285714285714,1,0.692307692307692,0.769230769230769,0.846153846153846,0.785714285714286,0.785714285714286,0.928571428571429
130,"inclusion",0.814285714285714,0.928571428571429,0.846153846153846,0.714285714285714,0.642857142857143,0.692307692307692,0.642857142857143,0.928571428571429,0.846153846153846,0.769230769230769,0.928571428571429,0.785714285714286,0.923076923076923,0.928571428571429,0.692307692307692,0.785714285714286,0.857142857142857,0.846153846153846,0.923076923076923,0.928571428571429,0.714285714285714,0.769230769230769,0.857142857142857,0.692307692307692,0.928571428571429,0.785714285714286
135,"inclusion",0.816483516483516,1,0.785714285714286,0.928571428571429,0.692307692307692,0.785714285714286,0.923076923076923,0.714285714285714,0.785714285714286,0.923076923076923,0.857142857142857,0.769230769230769,0.846153846153846,0.857142857142857,0.714285714285714,0.785714285714286,0.923076923076923,1,0.785714285714286,0.642857142857143,0.714285714285714,0.714285714285714,0.714285714285714,0.857142857142857,0.923076923076923,0.769230769230769
140,"inclusion",0.810989010989011,0.785714285714286,0.769230769230769,0.923076923076923,0.785714285714286,0.785714285714286,0.785714285714286,0.846153846153846,0.785714285714286,1,0.846153846153846,0.923076923076923,0.692307692307692,0.785714285714286,0.785714285714286,1,0.538461538461538,0.857142857142857,0.923076923076923,0.785714285714286,0.785714285714286,0.538461538461538,0.714285714285714,0.857142857142857,0.928571428571429,0.846153846153846
145,"inclusion",0.838241758241758,0.785714285714286,0.785714285714286,0.538461538461538,0.923076923076923,0.928571428571429,0.785714285714286,0.714285714285714,0.846153846153846,1,0.857142857142857,0.923076923076923,0.769230769230769,0.785714285714286,0.714285714285714,0.928571428571429,0.769230769230769,0.857142857142857,0.928571428571429,0.769230769230769,0.857142857142857,0.928571428571429,0.857142857142857,0.846153846153846,1,0.857142857142857
150,"inclusion",0.811428571428571,0.769230769230769,0.714285714285714,0.928571428571429,0.928571428571429,0.538461538461538,0.769230769230769,0.714285714285714,0.714285714285714,0.857142857142857,0.769230769230769,0.769230769230769,0.857142857142857,0.785714285714286,0.857142857142857,0.769230769230769,0.857142857142857,1,0.769230769230769,0.928571428571429,0.785714285714286,1,0.846153846153846,1,0.642857142857143,0.714285714285714
155,"inclusion",0.818901098901099,0.857142857142857,0.857142857142857,0.714285714285714,0.846153846153846,0.923076923076923,0.769230769230769,0.785714285714286,0.857142857142857,0.923076923076923,0.714285714285714,0.923076923076923,0.785714285714286,0.769230769230769,0.928571428571429,1,0.923076923076923,0.846153846153846,0.785714285714286,0.642857142857143,0.714285714285714,0.846153846153846,0.714285714285714,0.857142857142857,0.642857142857143,0.846153846153846
160,"inclusion",0.827692307692308,0.923076923076923,0.857142857142857,0.714285714285714,0.846153846153846,0.785714285714286,0.785714285714286,0.846153846153846,0.714285714285714,0.785714285714286,0.923076923076923,0.714285714285714,0.785714285714286,0.928571428571429,0.846153846153846,0.846153846153846,0.923076923076923,0.785714285714286,0.692307692307692,0.857142857142857,0.857142857142857,0.785714285714286,0.857142857142857,0.785714285714286,0.923076923076923,0.923076923076923
165,"inclusion",0.84989010989011,0.785714285714286,0.928571428571429,0.928571428571429,0.846153846153846,0.923076923076923,0.928571428571429,0.785714285714286,0.785714285714286,0.923076923076923,0.846153846153846,0.857142857142857,0.769230769230769,0.928571428571429,0.642857142857143,0.846153846153846,0.928571428571429,0.692307692307692,0.928571428571429,0.857142857142857,0.769230769230769,0.846153846153846,0.785714285714286,0.928571428571429,1,0.785714285714286
170,"inclusion",0.83010989010989,0.846153846153846,0.769230769230769,0.785714285714286,0.857142857142857,0.928571428571429,0.857142857142857,0.857142857142857,0.642857142857143,0.615384615384615,0.846153846153846,0.785714285714286,0.846153846153846,0.785714285714286,0.928571428571429,0.846153846153846,0.923076923076923,1,0.571428571428571,0.857142857142857,0.857142857142857,0.923076923076923,0.714285714285714,0.928571428571429,0.857142857142857,0.923076923076923
175,"inclusion",0.812307692307692,0.857142857142857,0.857142857142857,0.769230769230769,0.615384615384615,0.857142857142857,0.769230769230769,0.857142857142857,0.857142857142857,0.769230769230769,0.857142857142857,0.923076923076923,0.857142857142857,0.769230769230769,0.5,0.857142857142857,0.642857142857143,0.714285714285714,0.846153846153846,0.928571428571429,1,1,0.714285714285714,0.928571428571429,0.846153846153846,0.714285714285714
180,"inclusion",0.838461538461538,0.928571428571429,0.692307692307692,0.714285714285714,0.692307692307692,0.857142857142857,0.857142857142857,0.846153846153846,1,0.857142857142857,0.857142857142857,0.923076923076923,0.846153846153846,0.785714285714286,0.785714285714286,0.857142857142857,0.923076923076923,0.857142857142857,0.769230769230769,0.928571428571429,0.785714285714286,0.714285714285714,0.846153846153846,0.928571428571429,0.785714285714286,0.923076923076923
185,"inclusion",0.83010989010989,0.923076923076923,1,0.928571428571429,0.769230769230769,0.571428571428571,0.928571428571429,0.714285714285714,0.785714285714286,0.692307692307692,1,0.857142857142857,0.846153846153846,0.846153846153846,0.785714285714286,0.857142857142857,0.714285714285714,0.846153846153846,0.857142857142857,0.923076923076923,0.714285714285714,0.923076923076923,0.714285714285714,0.769230769230769,0.928571428571429,0.857142857142857
190,"inclusion",0.840879120879121,0.692307692307692,1,0.928571428571429,0.714285714285714,0.923076923076923,1,0.538461538461538,0.785714285714286,1,0.785714285714286,0.846153846153846,0.615384615384615,0.928571428571429,0.785714285714286,1,1,0.642857142857143,1,0.923076923076923,0.642857142857143,0.857142857142857,0.846153846153846,0.785714285714286,0.857142857142857,0.923076923076923
195,"inclusion",0.832087912087912,0.928571428571429,1,0.923076923076923,0.714285714285714,0.785714285714286,0.615384615384615,0.928571428571429,0.928571428571429,0.714285714285714,0.923076923076923,0.857142857142857,0.857142857142857,1,0.785714285714286,0.692307692307692,0.857142857142857,0.923076923076923,0.785714285714286,0.692307692307692,0.714285714285714,0.928571428571429,0.857142857142857,0.692307692307692,0.769230769230769,0.928571428571429
200,"inclusion",0.826373626373626,0.857142857142857,0.846153846153846,0.785714285714286,0.846153846153846,0.857142857142857,0.928571428571429,0.846153846153846,0.785714285714286,0.846153846153846,0.928571428571429,0.769230769230769,0.692307692307692,0.928571428571429,0.714285714285714,0.857142857142857,0.923076923076923,0.857142857142857,0.642857142857143,0.923076923076923,1,0.692307692307692,0.785714285714286,0.846153846153846,0.642857142857143,0.857142857142857
205,"inclusion",0.843736263736264,0.846153846153846,1,0.785714285714286,0.928571428571429,0.615384615384615,0.714285714285714,0.769230769230769,0.928571428571429,1,0.857142857142857,0.846153846153846,0.785714285714286,0.857142857142857,0.769230769230769,0.857142857142857,0.785714285714286,0.785714285714286,0.846153846153846,0.923076923076923,0.857142857142857,0.928571428571429,0.928571428571429,0.785714285714286,0.846153846153846,0.846153846153846
210,"inclusion",0.843516483516484,0.642857142857143,0.714285714285714,1,1,0.923076923076923,0.642857142857143,1,0.846153846153846,0.785714285714286,0.846153846153846,0.615384615384615,1,0.769230769230769,0.928571428571429,0.928571428571429,0.846153846153846,0.769230769230769,0.857142857142857,0.928571428571429,0.857142857142857,0.857142857142857,0.769230769230769,0.846153846153846,0.785714285714286,0.928571428571429
215,"inclusion",0.833186813186813,0.857142857142857,0.642857142857143,0.846153846153846,0.785714285714286,0.846153846153846,0.928571428571429,0.846153846153846,1,0.714285714285714,0.714285714285714,0.785714285714286,0.928571428571429,0.714285714285714,1,0.769230769230769,0.769230769230769,0.714285714285714,0.923076923076923,0.857142857142857,0.928571428571429,0.846153846153846,0.857142857142857,0.769230769230769,0.928571428571429,0.857142857142857
